,date,gender,style,roll,yaw,pitch
2,1645,M,Baroque,-5.4183154,-39.341904,-2.0967531
3,1562,M,Mannerism (Late Renaissance),-0.76056445,-42.431763,-4.563545
4,1635,M,Baroque,2.2750745,-26.206533,-18.347462
5,1534,M,Northern Renaissance,1.467117,-31.792042,-11.512095
6,1433,M,Northern Renaissance,8.488533,-0.8492508,-8.227444
8,1547,M,High Renaissance,23.913967,3.0239186,-17.36007
9,1505,M,High Renaissance,-1.0248008,-15.141485,-3.391931
11,1943,M,,-8.316427,-10.775205,-4.239722
12,1910,F,Symbolism,-3.192487,-42.467842,6.806139
14,1910,M,Art Nouveau (Modern),-5.9472113,-32.337677,-6.2481275
15,1531,M,High Renaissance,14.803548,-14.22621,-8.923428
16,1892,M,Realism,1.308876,-6.971517,-8.375283
17,1892,F,Neoclassicism,0.31909722,-19.189125,2.2274382
19,1880,M,Realism,-0.003851533,-21.123182,-6.4291353
20,1879,M,Romanticism,-0.9834867,-9.3566,-4.223866
21,1915,M,Art Nouveau (Modern),4.2816176,-30.128073,-16.596973
22,1882,M,Realism,0.023811102,33.006004,-9.868982
23,1924,F,,-0.6067884,20.841022,-5.2930617
24,1749,M,Baroque,-4.2652807,27.371841,-8.989064
25,1891,M,Realism,-3.790727,24.787395,2.6699915
26,1890,M,Japonism,8.79067,6.960794,-6.324624
27,1898,M,Art Nouveau (Modern),4.654806,5.1023192,-23.824373
28,1660,M,Baroque,1.168422,9.008046,-23.126633
29,1916,M,Art Nouveau (Modern),3.7764258,-21.609676,-7.3507333
30,1974,F,Contemporary Realism,-4.542175,0.5126519,-15.246668
31,1901,M,Art Nouveau (Modern),2.2666194,18.49187,-0.66539335
32,1911,M,Art Nouveau (Modern),5.2902412,-7.5158663,-8.713165
36,1914,M,Art Nouveau (Modern),-4.3455,-21.757956,-12.033798
37,1660,F,Baroque,-8.500315,-32.43728,-6.8834105
39,1912,M,Art Nouveau (Modern),-0.17958236,-10.991728,-11.416285
40,1914,F,Art Nouveau (Modern),4.9389105,-37.659508,-13.481527
41,1906,M,Romanticism,14.39426,-29.946487,-12.301601
46,1906,M,Art Nouveau (Modern),7.364355,-13.180932,-5.6855736
48,1917,M,Symbolism,0.22672415,18.201752,-7.2590656
49,1623,M,Baroque,2.3821294,35.80539,-13.216897
50,1907,M,Art Nouveau (Modern),5.260581,28.40765,-21.517931
51,1898,M,Art Nouveau (Modern),-1.9970118,-11.628081,-14.070427
53,1900,M,Realism,-4.1015997,-18.079487,-7.9984827
55,1844,M,Romanticism,0.9424112,-49.373795,2.019359
56,1872,M,Symbolism,6.585272,-32.044453,-7.9045386
57,1896,F,Neoclassicism,-15.807555,-32.12996,-1.6610389
58,1905,M,Magic Realism,4.724554,-42.756073,-5.1491766
59,1964,M,,0.101396084,8.978565,-9.100126
60,1917,M,Impressionism,10.355883,25.26194,-5.9904814
62,1632,M,Baroque,8.224756,8.54503,-14.356289
63,1656,M,Baroque,2.7186332,-25.309563,-7.7922316
65,1506,M,High Renaissance,0.041401535,-9.272974,4.527546
69,1913,M,Art Nouveau (Modern),2.244846,-19.772732,-7.277538
70,1480,M,Northern Renaissance,-8.916912,8.928951,-18.313234
72,1669,M,Baroque,2.5400279,-19.216745,-8.297706
73,1814,M,Romanticism,2.985136,19.877989,-0.1510044
76,1514,M,Northern Renaissance,-6.9427166,-9.466398,-16.683582
78,1887,F,Impressionism,0.73183644,23.643517,-9.570333
79,1542,F,Mannerism (Late Renaissance),-13.263487,-39.570267,-7.421139
80,1793,F,Romanticism,2.4420998,11.797899,-3.655837
81,1600,M,Baroque,5.1736703,-0.26850522,-5.0353518
82,1465,F,Early Renaissance,3.4638884,32.164185,-14.334156
83,1872,M,Realism,-15.952801,4.73934,-21.060093
84,1896,F,,2.4289093,10.417905,-4.6656227
85,1902,M,Magic Realism,9.888218,25.408733,-6.041324
