filename,yaw,pitch,roll,gender
59792.jpg,11.274359,-4.677393,-12.873102,M
24465.jpg,-9.524973,-9.192403,0.27487588,M
70728.jpg,-39.341904,-2.0967531,-5.4183154,M
15715.jpg,-42.431763,-4.563545,-0.76056445,M
59486.jpg,-26.206533,-18.347462,2.2750745,M
77921.jpg,-31.792042,-11.512095,1.467117,M
65895.jpg,-0.8492508,-8.227444,8.488533,M
53464.jpg,-9.014209,-9.617664,-3.5673192,F
5194.jpg,3.0239186,-17.36007,23.913967,M
55537.jpg,-15.141485,-3.391931,-1.0248008,M
840.jpg,3.2386174,5.867039,-10.433532,M
9011.jpg,-10.775205,-4.239722,-8.316427,M
95721.jpg,-42.467842,6.806139,-3.192487,F
55036.jpg,-1.2728345,-17.857426,-9.976038,M
13595.jpg,-32.337677,-6.2481275,-5.9472113,M
820.jpg,-14.22621,-8.923428,14.803548,M
19834.jpg,-6.971517,-8.375283,1.308876,M
27067.jpg,-19.189125,2.2274382,0.31909722,F
40672.jpg,-9.262623,-14.631357,5.703538,M
45276.jpg,-21.123182,-6.4291353,-0.003851533,M
75895.jpg,-9.3566,-4.223866,-0.9834867,M
88434.jpg,-30.128073,-16.596973,4.2816176,M
80938.jpg,33.006004,-9.868982,0.023811102,M
32343.jpg,20.841022,-5.2930617,-0.6067884,F
91879.jpg,27.371841,-8.989064,-4.2652807,M
23209.jpg,24.787395,2.6699915,-3.790727,M
70873.jpg,6.960794,-6.324624,8.79067,M
92409.jpg,5.1023192,-23.824373,4.654806,M
68866.jpg,9.008046,-23.126633,1.168422,M
79131.jpg,-21.609676,-7.3507333,3.7764258,M
83376.jpg,0.5126519,-15.246668,-4.542175,F
99839.jpg,18.49187,-0.66539335,2.2666194,M
53800.jpg,-7.5158663,-8.713165,5.2902412,M
1028.jpg,23.325928,-11.926344,-3.4353998,F
67048.jpg,23.66987,-5.5832305,8.815962,F
38653.jpg,26.920238,-11.383694,3.0125728,F
63849.jpg,-21.757956,-12.033798,-4.3455,M
70079.jpg,-32.43728,-6.8834105,-8.500315,F
60983.jpg,36.347637,-6.0089693,-8.6829605,F
13674.jpg,-10.991728,-11.416285,-0.17958236,M
80950.jpg,-37.659508,-13.481527,4.9389105,F
22404.jpg,-29.946487,-12.301601,14.39426,M
88133.jpg,-37.52884,-10.877821,9.738932,M
76474.jpg,-31.255405,-6.4477434,5.556047,F
87495.jpg,16.033335,-11.05329,13.615475,M
17680.jpg,18.077559,-17.944054,-0.3890748,M
271.jpg,-13.180932,-5.6855736,7.364355,M
76107.jpg,14.520536,-17.421982,1.6379638,F
46001.jpg,18.201752,-7.2590656,0.22672415,M
24036.jpg,35.80539,-13.216897,2.3821294,M
34382.jpg,28.40765,-21.517931,5.260581,M
61194.jpg,-11.628081,-14.070427,-1.9970118,M
86917.jpg,19.589397,-7.570718,-2.6400743,M
